Enrollment,Name,Email,Department,College,Semester,Avg Marks,Avg Attendance
0511CN221001,Abhishek Kumar Sahu,abhishekkumarsahu483@gmail.com,CSE,NIIST,7,94,98
052310458732,Aarav Sharma,aaravsharma@gmail.com,CSE,NIIST,6,88,91
052311237845,Diya Patel,diyapatel@gmail.com,AIML,NIRT,7,76,82
052312984533,Kunal Singh,kunalsingh@gmail.com,IT,NIP,5,69,73
052313754832,Meena Yadav,meenayadav@gmail.com,EC,NIRT,8,85,89
052314547892,Tanya Bansal,tanyabansal@gmail.com,Mechanical,NIIST,6,72,68
052315328743,Rohit Thakur,rohitthakur@gmail.com,Civil,NIRT,7,90,94
052316965431,Simran Kaur,simrankaur@gmail.com,Pharmacy,NIP,6,78,81
052317452839,Devansh Joshi,devanshjoshi@gmail.com,CSE,NIIST,5,83,87
052318976432,Harshita Pandey,harshitapandey@gmail.com,AIML,NIRT,7,74,79
052319546732,Lakshya Verma,lakshyaverma@gmail.com,IT,NIIST,6,92,96
052320845233,Anjali Rathore,anjalirathore@gmail.com,EC,NIP,8,88,86
052321436782,Yuvraj Chauhan,yuvrajchauhan@gmail.com,Mechanical,NIRT,7,67,70
052322987645,Sneha Dubey,snehadubey@gmail.com,Civil,NIIST,5,81,84
052323765439,Aman Sheikh,amansheikh@gmail.com,Pharmacy,NIP,6,63,59
052324943278,Ritika Jaiswal,ritikajaiswal@gmail.com,CSE,NIRT,7,89,93
052325876543,Kiran Gupta,kirangupta@gmail.com,AIML,NIIST,6,70,75
052326345982,Mahesh Nair,maheshnair@gmail.com,IT,NIRT,8,77,80
052327759432,Nisha Rawat,nisharawat@gmail.com,EC,NIP,7,84,88
052328985421,Tanmay Saxena,tanmaysaxena@gmail.com,Mechanical,NIIST,6,66,72
052329457823,Pallavi Sen,pallavisen@gmail.com,Civil,NIRT,5,91,95
052330564982,Aditya Raj,adityaraj@gmail.com,CSE,NIIST,8,73,78
052331785493,Samiksha Jain,samikshajain@gmail.com,AIML,NIRT,7,82,85
052332498765,Raghav Soni,raghavsoni@gmail.com,IT,NIP,6,87,90
052333875632,Preeti Mishra,preetimishra@gmail.com,EC,NIRT,8,75,81
052334965432,Krishna Tiwari,krishnatiwari@gmail.com,Mechanical,NIIST,5,68,65
052335865432,Sanya Kapoor,sanyakapoor@gmail.com,Pharmacy,NIP,6,80,83
052336234987,Arnav Meena,arnavmeena@gmail.com,CSE,NIRT,7,92,97
052337785492,Bhavya Shah,bhavyashah@gmail.com,AIML,NIIST,8,79,76
052338945321,Kritika Joshi,kritikajoshi@gmail.com,IT,NIP,5,71,74
052339764522,Rohan Sahu,rohansahu@gmail.com,EC,NIRT,7,86,90
